,Datetime,Text,Username,UserLocation,ReplyCount,LikeCount,RetweetCount
59,2022-02-22 04:39:22+00:00,Crazy Car Crash Compilation | Bad Drivers &amp; Driving Fails (Top 33 Crashes!) https://t.co/Za67qTdROz,724accidents,"New York, US",0,0,0
60,2022-02-22 04:38:42+00:00,Will you want more website traffic inside your business-at-home   find out about the foregoing alternative https://t.co/7oWamwpzYM https://t.co/5fv57gUvOH,TheWealthZone,"New York, NY",0,1,0
61,2022-02-22 04:33:58+00:00,"@WyattJo75967511 https://t.co/m6VUiUvGqc
Here you go!",JordantheCat11,"New York, USA",1,0,0
62,2022-02-22 04:33:14+00:00,Updated: Construction on #B67Bus at Jay St/Tillary St https://t.co/gH52cJEoSW,511NY,New York State,0,0,0
63,2022-02-22 04:33:14+00:00,Updated: Construction on #RLine NB from Jay St - MetroTech to City Hall https://t.co/1bOe0c2Te8,511NY,New York State,0,0,0
64,2022-02-22 04:30:06+00:00,Construction on #ALine Both directions from 59 St - Columbus Circle to W 4 St - Wash Sq https://t.co/ZG4um8tFXz,511nyACE,New York City,0,0,0
65,2022-02-22 04:30:05+00:00,Construction on #ALine Both directions from 59 St - Columbus Circle to W 4 St - Wash Sq https://t.co/VyXOfudaZ7,511NY,New York State,0,0,0
66,2022-02-22 04:30:04+00:00,Cleared: Construction on #RLine NB from Jay St - MetroTech to City Hall,511NY,New York State,0,0,0
67,2022-02-22 04:28:49+00:00,#Entrepreneurs #HomeBusiness This important terrific website traffic generation tactic will disclose ways to create a prospecting mania by using social websites https://t.co/lZP7yEPtyi https://t.co/aOOLDm0iPO,TheWealthZone,"New York, NY",0,0,0
68,2022-02-22 04:25:50+00:00,"@WyattJo75967511 @TeamAnnualia That’s right! We need all the help we can get for some of the animatics we’re making. If you want a sample, I can send it to you",JordantheCat11,"New York, USA",1,1,0
69,2022-02-22 04:22:02+00:00,@saamcactus My Aries in Jupiter prevented me from having a car crash the other day,dulcedeleooo,NJ/NYC ,0,1,0
70,2022-02-22 04:14:29+00:00,#LeadGen #BlogPost New method of getting traffic https://t.co/XPWnHBFgtD https://t.co/jpYa9OuAfp,TheWealthZone,"New York, NY",0,0,0
71,2022-02-22 04:06:22+00:00,"MTA Construction &amp; Development, Urbahn Architects, and Zafra Minhas Construction Complete $1.8M Flood Mitigation Upgrade at 155th Street/Frederick Douglass Boulevard IND Line Subway Station in Manhattan https://t.co/keHMlmCJ5p",RKhodadadian,"New York, NY",0,0,0
72,2022-02-22 04:06:10+00:00,@Weatheronthe8s Weather update and traffic update and also for use of sending navigation routes over the cloud from phone to car :/ it was a payed service as well so I can't believe it's just gonna stop working 😯😪,TekTheTech,"New York, USA",1,1,0
73,2022-02-22 04:03:05+00:00,Updated: Construction on #CLine Both directions from 59 St - Columbus Circle to W 4 St - Wash Sq https://t.co/tUhmmpGLOF,511nyACE,New York City,0,0,0
74,2022-02-22 04:03:05+00:00,Updated: Construction on #CLine Both directions from 59 St - Columbus Circle to W 4 St - Wash Sq https://t.co/MOAWOMjFH1,511NY,New York State,0,0,0
75,2022-02-22 04:03:04+00:00,Cleared: Construction on #CLine Both directions from 59 St - Columbus Circle to W 4 St - Wash Sq,511nyACE,New York City,0,0,0
76,2022-02-22 04:03:04+00:00,Cleared: Construction on #CLine Both directions from 59 St - Columbus Circle to W 4 St - Wash Sq,511NY,New York State,0,0,0
77,2022-02-22 03:56:46+00:00,"@AnnCoulter Nobody can ever give a good explanation as to why a place becomes a ""Sanctuary City""? Sure, they work cheap in restaurants &amp; construction, but when they have children, what fool thinks those salaries cover those children? Truth is, the taxpayer does. https://t.co/pMK60XWtM1",StoneRicharde1,"Manhattan, NY",0,1,0
78,2022-02-22 03:56:18+00:00,"I'm walking fast through the traffic lights 
Busy streets and busy lives 
And all we know is touch and go 
We are alone with our changing minds… https://t.co/RbsVifjkJr",haechanNYC,"Manhattan, NY",0,0,0
79,2022-02-22 03:49:43+00:00,@LizzyTishP1230 @LarryJFeller3 @Imposter_Edits @PrincessBravato You must not be black.,EOC212,New York City,0,2,0
80,2022-02-22 03:42:44+00:00,"@POTUS @JoeBiden Nato should provide lethal military equipment, Patriots, F-35s, and do a full embargo of Russian oil and gas, and close all EU commercial air traffic.  If Russia assaults Ukraine, there must be a deathly blow to Russia",AINi78686768,"New York, NY",0,0,0
81,2022-02-22 03:38:14+00:00,"@SenTedCruz Nato should provide lethal military equipment, Patriots, F-35s, and do a full embargo of Russian oil and gas, and close all EU commercial air traffic",AINi78686768,"New York, NY",0,0,0
82,2022-02-22 03:32:02+00:00,"But not even that mommy was the original mommy.

Pretty soon people start thinking Jewish couples are two men one that looks like a woman w/one of their own molested child targeting families to steal their identity, murder them &amp; traffic their children.

What is the case?",xanthus_rotgut,"Manhattan, NY",0,0,0
83,2022-02-22 03:32:01+00:00,@nitelite100 @weswwmvip @nhannahjones Project much! 😄You clear people are so pressed and wanting to be opressed... don't worry your time is coming! 😄😄😄,EOC212,New York City,2,1,0
84,2022-02-22 03:31:39+00:00,"@ShahBalen @tikaramyatri Hello Balen jee, I really enjoyed your interview and your thoughts process. Kathmandu's traffic can be further reduced by imposing a school district system just like here in the US, where the locals should send their children to the nearest school.",madansangroula1,"New York, USA",1,0,0
85,2022-02-22 03:31:29+00:00,"BRUTAL CAR CRASHES, FATAL CAR CRASHES 2022, CAR CRASH COMPILATION 2022 https://t.co/G7AvCTqyXU",724accidents,"New York, US",0,0,0
86,2022-02-22 03:21:58+00:00,"⚠️WEATHER ADVISORY⚠️
NYC may experience severe weather, including wind gusts of up to 45 MPH, starting tomorrow afternoon, Tuesday, 2/22.
DOB is reminding all builders, contractors, crane operators, and property owners to secure their construction sites, buildings, and equipment. https://t.co/mEOy9ngxlN",NYC_Buildings,"New York, NY",0,12,6
87,2022-02-22 03:17:21+00:00,"@ericcsilverman @vasdrimalitis Also this is far from unique to players. I mean look at the police and fire unions,  as well as building and construction",EdJQuigley,New York,0,0,0
88,2022-02-22 03:17:12+00:00,@MonkStorage I have a new construction thread coming very soon that will most recent construction cost and prices.,ChrisRamsey60,"New York, USA",1,4,0
89,2022-02-22 03:05:50+00:00,Bumper to bumper on the Westbound #LIE approaching the Clearview Expressway where a crash past there blocks the right lane #Queens @511NY @1010WINS https://t.co/ba83PZmUeh,WINSTRAFFICNYC,New York,0,0,0
90,2022-02-22 02:58:02+00:00,"In this blog traffic strategy is the difference among financial success or collapse, product is here now https://t.co/hY717D1Z8S https://t.co/Br6LaUya2B",TheWealthZone,"New York, NY",0,0,0
91,2022-02-22 02:53:00+00:00,"Amazing how perceptions of #transit related danger work. Friends &amp; family members celebrated getting my license, when the chance of dying in a car crash is ~ 1/9,000. They also text concerns about me riding the #subway because of violence. Felony rate is &lt;2 per million riders.",BoMcMillan,"New York, NY",0,2,0
92,2022-02-22 02:50:32+00:00,"""The limitless imagination of these genres hit a roadblock when it comes to envisioning other political systems."" #SciFi #Fantasy
https://t.co/JOFz666qGS",EricDirnbach,"New York, NY",2,2,2
93,2022-02-22 02:50:14+00:00,Construction on #RFKTriboroughBridge SB from Bronx Span to Manhattan Tolls https://t.co/j10e5EbmXt,511NY,New York State,1,0,0
94,2022-02-22 02:47:06+00:00,Construction on #6Line NB from Brook Av to Longwood Av https://t.co/oLaGBXcJx5,511ny456,New York CIty,0,0,0
95,2022-02-22 02:47:06+00:00,Construction on #6Line NB from Brook Av to Longwood Av https://t.co/IZ2D0bzfYS,511NY,New York State,0,0,0
96,2022-02-22 02:34:32+00:00,"This unique traffic methodology is the significant difference around a favorable outcome or maybe failing, course is here  https://t.co/h4ONcubqz5",TheWealthZone,"New York, NY",0,0,0
